날짜,기온,강수량,풍속,습도,일조,적설,지면온도,사상자
20170101,2.395833333,0,1.575,75.83333333,0.070833333,0,0.925,4
20170102,5.241666667,0.03,2.220833333,76.875,0.1125,0,5.075,16
20170103,2.108333333,0,1.908333333,62.41666667,0.370833333,0,1.533333333,2
20170104,4.0375,0,1.708333333,58.08333333,0.358333333,0,3.229166667,2
20170105,3.6,0,3.058333333,52.04166667,0,0,1.875,2
20170106,5.604166667,0,2.329166667,57.58333333,0.25,0,4.520833333,4
20170107,4.408333333,0,1.4625,66.41666667,0.291666667,0,3.1125,0
20170108,6.579166667,0,2.583333333,60.125,0.120833333,0,5.875,2
20170109,2.133333333,0,3.208333333,61.625,0.258333333,0,3.729166667,0
20170110,-3.225,0,3.116666667,47.375,0.379166667,0,-1.566666667,4
20170111,-4.279166667,0,2.083333333,35.375,0.383333333,0,-2.25,0
20170112,-1.679166667,0,3.1375,44.125,0.358333333,0.025,0.0375,2
20170113,-5.8375,0.3,2.7625,45.83333333,0.233333333,0.1625,-3.670833333,4
20170114,-8.316666667,0,3.75,34.08333333,0.383333333,0,-5.129166667,0
20170115,-6.858333333,0,2.35,34.20833333,0.383333333,0,-4.391666667,2
20170116,-3.733333333,0,1.366666667,37.20833333,0.383333333,0,-2.85,10
20170117,-2.266666667,0,1.458333333,44.33333333,0.358333333,0,-2.5,2
20170118,-0.4125,0,1.295833333,68.79166667,0.079166667,0,-1.35,2
20170119,-1.266666667,0,1.5625,58.04166667,0.3375,0,-0.658333333,2
20170120,-3.854166667,1.333333333,2.875,67.54166667,0.25,4.3,-2.083333333,6
20170121,-5.525,0.28,1.529166667,74.45833333,0.1375,4.045833333,-3.204166667,2
20170122,-7.5625,0.35,3.5875,52.83333333,0.379166667,4.604166667,-2.520833333,6
20170123,-8.9,0,2.3,48.20833333,0.391666667,2.925,-4.779166667,0
20170124,-7.125,0,1.875,50.45833333,0.391666667,2.0875,-4.9125,0
20170125,-5.3625,0,1.570833333,50.375,0.395833333,1.758333333,-4.520833333,12
20170126,-2.041666667,0,2.183333333,62.45833333,0.2375,1.354166667,-2.470833333,2
20170127,-1.8125,1.65,3.483333333,50.33333333,0.383333333,0.0375,0.579166667,2
20170128,-2.079166667,0,1.833333333,38.91666667,0.325,0,-1.404166667,0
20170129,0.995833333,0.82,1.791666667,65.95833333,0,0.395833333,0.095833333,0
20170130,-4.283333333,0.25,3.433333333,64.58333333,0.3625,1.883333333,-0.066666667,2
20170131,-5.495833333,0,1.704166667,44.58333333,0.341666667,1.233333333,-1.754166667,0
20170132,-3.7625,0,2.491666667,44.79166667,0.395833333,0.391666667,-1.7125,0
20170133,-3.241666667,0,2.716666667,50.33333333,0.4,0,-1.895833333,0
20170134,1.554166667,0,1.5375,66.25,0.383333333,0,1.141666667,0
20170135,0.675,0,1.608333333,70.66666667,0.041666667,0,-0.304166667,0
20170136,1.5,0.125,2.133333333,74.625,0,0,0.641666667,0
20170137,-1.575,0,3.016666667,52.04166667,0.408333333,0,0.8875,0
20170138,-2.079166667,0,1.525,45.75,0.170833333,0,-1.229166667,0
20170139,-2.125,0,2.1125,50.375,0.05,0,-1.441666667,0
20170140,-4.895833333,0,3.691666667,47.04166667,0.366666667,0,-2.55,0
20170141,-6.541666667,0,4.1375,44.25,0.4,0,-3.308333333,0
20170142,-5.0125,0,2.7375,45.66666667,0.404166667,0,-2.1875,0
20170143,-2.195833333,0,2.170833333,49.375,0.408333333,0,-0.195833333,0
20170144,-0.083333333,0,1.554166667,58.625,0.266666667,0,0.1125,0
20170145,0.45,0,2.591666667,47.375,0.408333333,0,2.083333333,0
20170146,1.5875,0,1.4,53.16666667,0.370833333,0,1.104166667,0
20170147,4.866666667,0,1.766666667,61.41666667,0.0875,0,2.570833333,0
20170148,2.070833333,1.333333333,3.9,60.625,0.395833333,0,4.929166667,0
20170149,-2.754166667,0,2.866666667,47.125,0.416666667,0,0.05,0
20170150,1.470833333,0.133333333,1.816666667,66.79166667,0.05,0,0.491666667,0
20170151,-0.645833333,0.366666667,4.245833333,57.45833333,0.4125,0,2.304166667,0
20170152,-1.116666667,0,1.6125,38.16666667,0.4125,0,0.425,0
